Order_ID,Order_Date,Order_Time,City,Warehouse_ID,Product_ID,Product_Category,Product_Name,Price,Quantity,Stock_Available,Delivery_Partner,Delivery_Time_Minutes,Customer_Rating,Payment_Method,Revenue,Month,Day,Order_Year,Order_Month,Delivery_Speed,Stock_Status
QC1013,2025-01-17,08:57,Hyderabad,W3,P400,Beverages,Juice,31,2,48,Sameer,32,4.1,UPI,62,January,Friday,2025,1,Medium,In Stock
QC1014,2025-04-05,16:14,Delhi,W5,P867,Bakery,Buns,116,5,19,Vikram,13,4.2,WALLET,580,April,Saturday,2025,4,Fast,Low Stock
QC1015,2025-01-13,23:15,Delhi,W3,P276,Frozen,Frozen Peas,162,4,58,Ravi,32,4.4,CARD,648,January,Monday,2025,1,Medium,In Stock
QC1016,2025-03-16,15:55,Mumbai,W1,P505,Fruits,Apple,49,2,2,Sameer,24,4.3,COD,98,March,Sunday,2025,3,Fast,Low Stock
QC1017,2025-04-05,23:15,Pune,W1,P106,Frozen,Ice Cream,41,1,7,Vikram,42,4.5,COD,41,April,Saturday,2025,4,Medium,Low Stock
QC1018,2025-03-05,15:14,Delhi,W1,P485,Fruits,Apple,103,3,16,Vikram,45,3.6,UPI,309,March,Wednesday,2025,3,Medium,Low Stock
QC1019,2025-02-28,15:09,Pune,W4,P543,Fruits,Banana,149,4,49,Karthik,30,4.7,CARD,596,February,Friday,2025,2,Medium,In Stock
QC1020,2025-03-27,09:26,Hyderabad,W1,P876,Bakery,Buns,241,3,47,Suresh,48,4.0,WALLET,723,March,Thursday,2025,3,Medium,In Stock
QC1021,2025-02-18,16:11,Hyderabad,W4,P416,Dairy,Curd,131,2,58,Arjun,40,3.4,UPI,262,February,Tuesday,2025,2,Medium,In Stock
QC1022,2025-01-14,14:39,Delhi,W4,P943,Snacks,Nachos,199,3,21,Suresh,37,3.4,WALLET,597,January,Tuesday,2025,1,Medium,In Stock
QC1023,2025-06-01,20:45,Chennai,W2,P143,Bakery,Cake,39,1,15,Sameer,46,4.6,COD,39,June,Sunday,2025,6,Medium,Low Stock
QC1024,2025-01-02,23:08,Pune,W6,P635,Frozen,Frozen Peas,81,3,20,Aman,12,4.0,WALLET,243,January,Thursday,2025,1,Fast,In Stock
QC1025,2025-03-27,14:53,Pune,W6,P712,Frozen,Ice Cream,167,5,35,Sameer,10,3.6,WALLET,835,March,Thursday,2025,3,Fast,In Stock
QC1026,2025-04-28,09:07,Hyderabad,W6,P385,Snacks,Biscuits,150,3,45,Suresh,22,4.7,WALLET,450,April,Monday,2025,4,Fast,In Stock
QC1027,2025-02-28,10:30,Pune,W3,P619,Snacks,Potato Chips,151,4,35,Sameer,12,3.6,COD,604,February,Friday,2025,2,Fast,In Stock
QC1028,2025-06-03,09:40,Delhi,W1,P975,Dairy,Curd,93,2,53,Vikram,21,3.3,UPI,186,June,Tuesday,2025,6,Fast,In Stock
QC1029,2025-05-01,19:10,Hyderabad,W6,P297,Beverages,Energy Drink,67,1,13,Aman,15,4.8,COD,67,May,Thursday,2025,5,Fast,Low Stock
QC1030,2025-02-08,21:54,Bangalore,W2,P360,Fruits,Apple,175,1,24,Suresh,24,3.8,CARD,175,February,Saturday,2025,2,Fast,In Stock
QC1031,2025-01-12,18:52,Delhi,W6,P800,Beverages,Energy Drink,31,2,49,Arjun,46,3.8,UPI,62,January,Sunday,2025,1,Medium,In Stock
QC1032,2025-06-29,15:54,Mumbai,W6,P194,Frozen,Ice Cream,174,5,53,Arjun,39,3.6,WALLET,870,June,Sunday,2025,6,Medium,In Stock
QC1033,2025-02-12,11:28,Bangalore,W1,P799,Fruits,Banana,135,2,18,Arjun,37,3.8,CARD,270,February,Wednesday,2025,2,Medium,Low Stock
QC1034,2025-06-08,13:59,Chennai,W2,P183,Frozen,Frozen Peas,30,3,44,Karthik,30,4.8,WALLET,90,June,Sunday,2025,6,Medium,In Stock
QC1035,2025-04-23,17:17,Bangalore,W6,P181,Dairy,Milk 1L,59,1,34,Rahul,20,4.1,WALLET,59,April,Wednesday,2025,4,Fast,In Stock
QC1036,2025-03-07,08:33,Mumbai,W4,P637,Fruits,Apple,227,5,5,Karthik,50,4.9,UPI,1135,March,Friday,2025,3,Medium,Low Stock
QC1037,2025-05-24,15:43,Bangalore,W5,P632,Bakery,Buns,33,1,59,Sameer,21,3.2,UPI,33,May,Saturday,2025,5,Fast,In Stock
QC1038,2025-05-31,18:16,Chennai,W2,P578,Fruits,Apple,171,4,6,Vikram,35,4.2,UPI,684,May,Saturday,2025,5,Medium,Low Stock
QC1039,2025-03-10,13:41,Hyderabad,W3,P250,Beverages,Energy Drink,87,2,42,Rahul,18,3.5,UPI,174,March,Monday,2025,3,Fast,In Stock
QC1040,2025-04-23,20:47,Pune,W2,P853,Fruits,Banana,217,1,14,Sameer,11,3.7,CARD,217,April,Wednesday,2025,4,Fast,Low Stock
QC1041,2025-02-20,09:07,Chennai,W2,P208,Snacks,Biscuits,59,1,15,Sameer,28,3.6,UPI,59,February,Thursday,2025,2,Fast,Low Stock
QC1042,2025-03-07,16:54,Delhi,W1,P153,Fruits,Apple,59,1,15,Karthik,42,4.4,COD,59,March,Friday,2025,3,Medium,Low Stock
QC1043,2025-06-23,14:46,Hyderabad,W5,P310,Bakery,Cake,247,1,60,Vikram,17,3.4,UPI,247,June,Monday,2025,6,Fast,In Stock
QC1044,2025-03-08,11:10,Hyderabad,W1,P108,Frozen,Frozen Peas,131,3,36,Aman,38,3.5,COD,393,March,Saturday,2025,3,Medium,In Stock
QC1045,2025-01-15,10:31,Mumbai,W5,P333,Fruits,Banana,121,4,59,Aman,11,4.3,COD,484,January,Wednesday,2025,1,Fast,In Stock
QC1046,2025-06-13,11:47,Pune,W6,P261,Fruits,Apple,76,3,19,Aman,12,3.1,WALLET,228,June,Friday,2025,6,Fast,Low Stock
QC1047,2025-06-08,18:34,Pune,W1,P189,Dairy,Milk 1L,130,5,24,Karthik,17,3.7,UPI,650,June,Sunday,2025,6,Fast,In Stock
QC1048,2025-03-27,12:54,Hyderabad,W4,P883,Bakery,Buns,128,1,27,Sameer,34,3.5,COD,128,March,Thursday,2025,3,Medium,In Stock
QC1049,2025-01-25,18:05,Delhi,W5,P315,Beverages,Juice,121,3,20,Rahul,11,3.8,CARD,363,January,Saturday,2025,1,Fast,In Stock
QC1050,2025-03-06,15:08,Pune,W1,P511,Dairy,Milk 1L,183,4,40,Vikram,50,3.1,CARD,732,March,Thursday,2025,3,Medium,In Stock
QC1051,2025-05-25,14:54,Pune,W3,P203,Bakery,Cake,188,1,0,Vikram,47,4.9,CARD,188,May,Sunday,2025,5,Medium,Low Stock
QC1052,2025-06-21,12:13,Chennai,W3,P162,Beverages,Soft Drink,148,1,37,Rahul,31,3.0,WALLET,148,June,Saturday,2025,6,Medium,In Stock
QC1053,2025-01-25,19:50,Pune,W4,P851,Snacks,Nachos,183,2,6,Rahul,39,4.3,WALLET,366,January,Saturday,2025,1,Medium,Low Stock
QC1054,2025-05-22,08:49,Hyderabad,W5,P773,Fruits,Banana,231,2,25,Karthik,24,3.5,COD,462,May,Thursday,2025,5,Fast,In Stock
QC1055,2025-04-10,20:46,Chennai,W1,P931,Snacks,Nachos,173,3,35,Arjun,49,3.8,UPI,519,April,Thursday,2025,4,Medium,In Stock
QC1056,2025-02-21,12:13,Bangalore,W1,P490,Fruits,Orange,133,3,9,Sameer,40,3.6,WALLET,399,February,Friday,2025,2,Medium,Low Stock
QC1057,2025-04-24,22:35,Bangalore,W4,P308,Dairy,Milk 1L,106,3,43,Vikram,49,4.9,COD,318,April,Thursday,2025,4,Medium,In Stock
QC1058,2025-06-24,17:15,Hyderabad,W4,P951,Snacks,Biscuits,176,3,38,Aman,20,3.9,COD,528,June,Tuesday,2025,6,Fast,In Stock
QC1059,2025-06-09,18:26,Mumbai,W5,P186,Beverages,Energy Drink,187,1,34,Ravi,48,4.5,CARD,187,June,Monday,2025,6,Medium,In Stock
QC1060,2025-04-17,15:05,Mumbai,W2,P186,Beverages,Juice,127,4,15,Sameer,19,4.2,COD,508,April,Thursday,2025,4,Fast,Low Stock
QC1061,2025-05-02,18:40,Pune,W3,P157,Beverages,Soft Drink,120,5,11,Vikram,34,3.5,COD,600,May,Friday,2025,5,Medium,Low Stock
QC1062,2025-03-24,17:02,Pune,W1,P150,Dairy,Milk 1L,194,4,50,Sameer,26,3.8,CARD,776,March,Monday,2025,3,Fast,In Stock
QC1063,2025-06-01,23:36,Delhi,W3,P172,Snacks,Potato Chips,177,4,5,Sameer,22,4.4,COD,708,June,Sunday,2025,6,Fast,Low Stock
QC1064,2025-01-04,19:42,Hyderabad,W2,P188,Fruits,Apple,108,5,57,Aman,15,4.5,WALLET,540,January,Saturday,2025,1,Fast,In Stock
QC1065,2025-05-23,12:21,Delhi,W2,P359,Beverages,Energy Drink,38,3,22,Aman,27,4.8,CARD,114,May,Friday,2025,5,Fast,In Stock
QC1066,2025-05-06,19:36,Mumbai,W2,P530,Dairy,Milk 1L,62,4,36,Sameer,15,4.7,COD,248,May,Tuesday,2025,5,Fast,In Stock
QC1067,2025-03-31,17:24,Pune,W4,P270,Fruits,Banana,165,1,48,Sameer,43,4.8,WALLET,165,March,Monday,2025,3,Medium,In Stock
QC1068,2025-02-17,10:05,Delhi,W1,P907,Frozen,Frozen Peas,189,5,25,Suresh,25,4.0,UPI,945,February,Monday,2025,2,Fast,In Stock
QC1069,2025-02-27,14:01,Mumbai,W1,P538,Snacks,Potato Chips,149,1,4,Sameer,41,5.0,COD,149,February,Thursday,2025,2,Medium,Low Stock
QC1070,2025-01-21,22:10,Chennai,W6,P213,Dairy,Curd,104,5,41,Sameer,24,4.0,WALLET,520,January,Tuesday,2025,1,Fast,In Stock
QC1071,2025-03-04,17:23,Delhi,W5,P931,Frozen,Frozen Peas,250,5,27,Vikram,38,4.0,CARD,1250,March,Tuesday,2025,3,Medium,In Stock
QC1072,2025-03-20,16:55,Pune,W5,P591,Bakery,Cake,234,1,3,Aman,32,4.9,UPI,234,March,Thursday,2025,3,Medium,Low Stock
QC1073,2025-01-15,12:39,Hyderabad,W3,P409,Snacks,Potato Chips,180,5,8,Aman,17,4.5,CARD,900,January,Wednesday,2025,1,Fast,Low Stock
QC1074,2025-05-09,15:20,Hyderabad,W4,P311,Frozen,Frozen Peas,178,2,32,Ravi,34,3.0,COD,356,May,Friday,2025,5,Medium,In Stock
QC1075,2025-02-06,14:37,Bangalore,W5,P833,Frozen,Frozen Peas,149,3,50,Suresh,30,3.4,WALLET,447,February,Thursday,2025,2,Medium,In Stock
QC1076,2025-06-21,15:40,Hyderabad,W4,P363,Snacks,Potato Chips,64,4,11,Suresh,47,4.4,UPI,256,June,Saturday,2025,6,Medium,Low Stock
QC1077,2025-03-04,17:07,Mumbai,W2,P783,Bakery,Buns,194,1,29,Rahul,42,3.8,UPI,194,March,Tuesday,2025,3,Medium,In Stock
QC1078,2025-03-26,10:18,Mumbai,W2,P127,Frozen,Ice Cream,245,1,2,Sameer,27,4.0,CARD,245,March,Wednesday,2025,3,Fast,Low Stock
QC1079,2025-05-29,12:43,Mumbai,W5,P874,Snacks,Biscuits,69,2,18,Sameer,32,3.1,WALLET,138,May,Thursday,2025,5,Medium,Low Stock
QC1080,2025-05-06,12:39,Bangalore,W2,P821,Dairy,Milk 1L,143,5,51,Karthik,25,4.3,UPI,715,May,Tuesday,2025,5,Fast,In Stock
QC1081,2025-06-16,23:24,Delhi,W3,P308,Bakery,Buns,188,5,31,Aman,10,4.8,WALLET,940,June,Monday,2025,6,Fast,In Stock
QC1082,2025-03-04,11:48,Mumbai,W5,P187,Bakery,Bread,118,2,45,Rahul,43,4.3,COD,236,March,Tuesday,2025,3,Medium,In Stock
QC1083,2025-04-12,13:28,Hyderabad,W2,P337,Fruits,Apple,150,4,30,Suresh,50,4.3,CARD,600,April,Saturday,2025,4,Medium,In Stock
QC1084,2025-01-20,15:13,Delhi,W2,P898,Beverages,Energy Drink,138,5,24,Suresh,36,3.6,WALLET,690,January,Monday,2025,1,Medium,In Stock
QC1085,2025-05-20,20:15,Bangalore,W1,P844,Fruits,Banana,41,3,3,Karthik,12,3.8,CARD,123,May,Tuesday,2025,5,Fast,Low Stock
QC1086,2025-06-18,15:58,Pune,W1,P494,Snacks,Potato Chips,119,3,25,Arjun,27,3.8,CARD,357,June,Wednesday,2025,6,Fast,In Stock
QC1087,2025-06-13,23:55,Bangalore,W3,P177,Snacks,Biscuits,211,3,48,Arjun,10,4.2,COD,633,June,Friday,2025,6,Fast,In Stock
QC1088,2025-04-06,12:51,Hyderabad,W6,P684,Snacks,Biscuits,211,4,45,Arjun,33,3.9,WALLET,844,April,Sunday,2025,4,Medium,In Stock
QC1089,2025-01-10,19:52,Delhi,W4,P997,Beverages,Energy Drink,131,4,30,Rahul,48,3.6,UPI,524,January,Friday,2025,1,Medium,In Stock
QC1090,2025-05-21,14:14,Chennai,W6,P286,Bakery,Buns,212,2,53,Sameer,47,4.7,UPI,424,May,Wednesday,2025,5,Medium,In Stock
QC1091,2025-05-19,11:37,Delhi,W6,P102,Snacks,Biscuits,69,4,56,Vikram,34,4.6,COD,276,May,Monday,2025,5,Medium,In Stock
QC1092,2025-04-20,23:32,Pune,W1,P876,Beverages,Juice,38,1,36,Suresh,31,3.1,UPI,38,April,Sunday,2025,4,Medium,In Stock
QC1093,2025-06-15,09:05,Chennai,W5,P420,Frozen,Frozen Peas,33,3,27,Karthik,39,4.5,COD,99,June,Sunday,2025,6,Medium,In Stock
QC1094,2025-02-18,18:09,Mumbai,W5,P454,Bakery,Cake,47,3,33,Vikram,30,3.2,UPI,141,February,Tuesday,2025,2,Medium,In Stock
QC1095,2025-01-23,09:07,Pune,W1,P728,Fruits,Orange,215,2,41,Vikram,22,3.6,UPI,430,January,Thursday,2025,1,Fast,In Stock
QC1096,2025-05-10,15:20,Pune,W6,P564,Fruits,Apple,161,2,44,Suresh,24,3.0,COD,322,May,Saturday,2025,5,Fast,In Stock
QC1097,2025-06-21,09:52,Delhi,W3,P257,Dairy,Milk 1L,195,3,2,Vikram,22,4.6,CARD,585,June,Saturday,2025,6,Fast,Low Stock
QC1098,2025-04-02,09:53,Pune,W4,P603,Snacks,Potato Chips,190,4,38,Suresh,42,4.2,UPI,760,April,Wednesday,2025,4,Medium,In Stock
QC1099,2025-01-23,13:23,Delhi,W5,P752,Dairy,Curd,205,1,52,Ravi,14,4.0,CARD,205,January,Thursday,2025,1,Fast,In Stock
QC1100,2025-01-08,12:42,Mumbai,W4,P989,Dairy,Curd,68,4,40,Aman,43,4.3,CARD,272,January,Wednesday,2025,1,Medium,In Stock
QC1101,2025-05-06,14:02,Hyderabad,W2,P622,Fruits,Apple,182,5,18,Karthik,19,3.1,COD,910,May,Tuesday,2025,5,Fast,Low Stock
QC1102,2025-06-30,16:05,Hyderabad,W1,P398,Beverages,Energy Drink,71,4,11,Sameer,20,3.7,UPI,284,June,Monday,2025,6,Fast,Low Stock
QC1103,2025-04-24,15:41,Delhi,W2,P239,Beverages,Energy Drink,223,3,20,Sameer,25,3.7,WALLET,669,April,Thursday,2025,4,Fast,In Stock
QC1104,2025-05-11,19:28,Delhi,W6,P232,Bakery,Bread,200,3,13,Aman,37,4.5,WALLET,600,May,Sunday,2025,5,Medium,Low Stock
QC1105,2025-01-30,10:40,Delhi,W4,P652,Snacks,Biscuits,223,2,4,Sameer,37,3.1,UPI,446,January,Thursday,2025,1,Medium,Low Stock
QC1106,2025-01-16,20:04,Mumbai,W2,P278,Fruits,Apple,218,5,52,Suresh,44,3.0,CARD,1090,January,Thursday,2025,1,Medium,In Stock
QC1107,2025-04-30,10:54,Bangalore,W1,P472,Beverages,Juice,221,2,10,Rahul,12,4.4,COD,442,April,Wednesday,2025,4,Fast,Low Stock
QC1108,2025-01-27,12:44,Mumbai,W4,P653,Bakery,Buns,155,5,35,Sameer,10,4.4,COD,775,January,Monday,2025,1,Fast,In Stock
QC1109,2025-05-15,11:31,Mumbai,W3,P557,Bakery,Bread,144,2,48,Arjun,10,3.5,CARD,288,May,Thursday,2025,5,Fast,In Stock
QC1110,2025-01-02,18:00,Mumbai,W5,P587,Snacks,Biscuits,187,5,17,Vikram,29,4.9,WALLET,935,January,Thursday,2025,1,Fast,Low Stock
QC1111,2025-01-30,09:31,Pune,W1,P460,Frozen,Ice Cream,63,3,32,Sameer,30,4.9,CARD,189,January,Thursday,2025,1,Medium,In Stock
QC1112,2025-01-27,17:09,Hyderabad,W1,P839,Bakery,Bread,236,3,33,Ravi,47,4.6,CARD,708,January,Monday,2025,1,Medium,In Stock
QC1113,2025-05-20,10:09,Mumbai,W5,P148,Snacks,Nachos,38,1,39,Sameer,20,3.1,WALLET,38,May,Tuesday,2025,5,Fast,In Stock
QC1114,2025-05-16,23:46,Delhi,W1,P537,Dairy,Milk 1L,154,3,35,Karthik,48,4.9,COD,462,May,Friday,2025,5,Medium,In Stock
QC1115,2025-03-03,15:00,Bangalore,W6,P428,Snacks,Nachos,30,3,26,Suresh,40,4.6,COD,90,March,Monday,2025,3,Medium,In Stock
QC1116,2025-01-31,15:38,Hyderabad,W1,P855,Frozen,Ice Cream,212,2,29,Arjun,31,3.2,COD,424,January,Friday,2025,1,Medium,In Stock
QC1117,2025-04-25,22:28,Mumbai,W2,P724,Frozen,Frozen Peas,45,5,29,Vikram,45,4.0,COD,225,April,Friday,2025,4,Medium,In Stock
QC1118,2025-02-15,17:45,Hyderabad,W5,P184,Bakery,Bread,128,1,18,Vikram,22,3.7,CARD,128,February,Saturday,2025,2,Fast,Low Stock
QC1119,2025-01-25,20:27,Delhi,W1,P211,Bakery,Bread,140,2,4,Arjun,44,4.4,CARD,280,January,Saturday,2025,1,Medium,Low Stock
QC1120,2025-05-20,08:09,Bangalore,W4,P499,Snacks,Potato Chips,171,2,19,Sameer,29,4.1,COD,342,May,Tuesday,2025,5,Fast,Low Stock
QC1121,2025-06-02,09:15,Chennai,W5,P441,Fruits,Banana,90,3,26,Suresh,32,3.3,COD,270,June,Monday,2025,6,Medium,In Stock
QC1122,2025-06-02,09:09,Chennai,W1,P880,Beverages,Juice,162,3,17,Aman,39,4.6,WALLET,486,June,Monday,2025,6,Medium,Low Stock
QC1123,2025-02-01,12:44,Bangalore,W3,P422,Frozen,Frozen Peas,190,2,8,Suresh,23,3.7,CARD,380,February,Saturday,2025,2,Fast,Low Stock
QC1124,2025-03-07,13:02,Pune,W6,P105,Fruits,Apple,219,1,59,Ravi,35,4.6,COD,219,March,Friday,2025,3,Medium,In Stock
QC1125,2025-05-11,21:23,Chennai,W6,P162,Beverages,Soft Drink,70,2,21,Vikram,16,4.0,COD,140,May,Sunday,2025,5,Fast,In Stock
QC1126,2025-01-15,16:36,Mumbai,W2,P403,Dairy,Butter,141,3,22,Karthik,33,3.3,CARD,423,January,Wednesday,2025,1,Medium,In Stock
QC1127,2025-01-10,21:01,Mumbai,W4,P456,Beverages,Juice,142,1,55,Ravi,26,4.5,UPI,142,January,Friday,2025,1,Fast,In Stock
QC1128,2025-06-11,17:04,Pune,W1,P653,Beverages,Juice,52,4,1,Karthik,37,4.2,CARD,208,June,Wednesday,2025,6,Medium,Low Stock
QC1129,2025-05-14,16:30,Chennai,W1,P624,Bakery,Cake,98,3,12,Sameer,26,3.6,WALLET,294,May,Wednesday,2025,5,Fast,Low Stock
QC1130,2025-06-16,16:50,Mumbai,W5,P921,Snacks,Biscuits,165,5,59,Vikram,43,4.9,CARD,825,June,Monday,2025,6,Medium,In Stock
QC1131,2025-02-11,15:56,Delhi,W1,P654,Frozen,Frozen Peas,79,3,12,Aman,14,4.1,CARD,237,February,Tuesday,2025,2,Fast,Low Stock
QC1132,2025-04-30,23:37,Pune,W3,P322,Dairy,Milk 1L,165,1,54,Rahul,27,3.1,COD,165,April,Wednesday,2025,4,Fast,In Stock
QC1133,2025-03-20,23:21,Bangalore,W5,P701,Frozen,Ice Cream,136,1,25,Arjun,48,4.0,CARD,136,March,Thursday,2025,3,Medium,In Stock
QC1134,2025-06-14,09:23,Bangalore,W6,P734,Dairy,Butter,30,5,40,Rahul,32,4.6,COD,150,June,Saturday,2025,6,Medium,In Stock
QC1135,2025-02-04,11:05,Hyderabad,W1,P876,Snacks,Potato Chips,234,1,54,Aman,42,3.3,WALLET,234,February,Tuesday,2025,2,Medium,In Stock
QC1136,2025-03-18,08:15,Delhi,W2,P576,Frozen,Ice Cream,147,2,13,Karthik,31,3.1,UPI,294,March,Tuesday,2025,3,Medium,Low Stock
QC1137,2025-01-02,11:17,Bangalore,W5,P541,Bakery,Buns,72,3,2,Aman,36,3.3,COD,216,January,Thursday,2025,1,Medium,Low Stock
QC1138,2025-04-26,22:42,Mumbai,W2,P166,Beverages,Energy Drink,167,4,56,Aman,22,3.3,CARD,668,April,Saturday,2025,4,Fast,In Stock
QC1139,2025-05-28,22:33,Hyderabad,W3,P396,Bakery,Buns,163,3,31,Ravi,29,4.8,COD,489,May,Wednesday,2025,5,Fast,In Stock
QC1140,2025-04-01,09:31,Mumbai,W4,P323,Beverages,Energy Drink,37,5,54,Aman,25,3.2,UPI,185,April,Tuesday,2025,4,Fast,In Stock
QC1141,2025-04-28,22:40,Pune,W3,P106,Bakery,Buns,49,5,54,Aman,36,3.5,COD,245,April,Monday,2025,4,Medium,In Stock
QC1142,2025-06-13,16:24,Mumbai,W2,P662,Bakery,Cake,249,1,10,Arjun,49,3.8,CARD,249,June,Friday,2025,6,Medium,Low Stock
QC1143,2025-01-31,13:48,Chennai,W6,P609,Fruits,Orange,52,1,36,Vikram,15,4.8,UPI,52,January,Friday,2025,1,Fast,In Stock
QC1144,2025-02-10,12:27,Mumbai,W4,P944,Fruits,Orange,69,4,40,Karthik,35,3.8,UPI,276,February,Monday,2025,2,Medium,In Stock
QC1145,2025-01-16,09:00,Mumbai,W4,P272,Beverages,Juice,163,4,49,Vikram,11,4.9,WALLET,652,January,Thursday,2025,1,Fast,In Stock
QC1146,2025-06-14,17:26,Bangalore,W4,P971,Beverages,Soft Drink,181,5,26,Arjun,14,4.5,CARD,905,June,Saturday,2025,6,Fast,In Stock
QC1147,2025-06-06,21:27,Bangalore,W2,P717,Frozen,Ice Cream,229,3,19,Aman,31,3.4,COD,687,June,Friday,2025,6,Medium,Low Stock
QC1148,2025-04-21,23:13,Chennai,W2,P704,Frozen,Frozen Peas,69,4,40,Vikram,46,3.0,WALLET,276,April,Monday,2025,4,Medium,In Stock
QC1149,2025-05-09,23:31,Bangalore,W1,P187,Bakery,Buns,248,4,55,Suresh,29,3.6,UPI,992,May,Friday,2025,5,Fast,In Stock
QC1150,2025-06-01,16:06,Hyderabad,W2,P337,Beverages,Juice,181,1,60,Aman,38,3.7,COD,181,June,Sunday,2025,6,Medium,In Stock
QC1151,2025-03-24,12:20,Bangalore,W1,P708,Snacks,Nachos,120,4,29,Karthik,44,3.7,WALLET,480,March,Monday,2025,3,Medium,In Stock
QC1152,2025-05-28,12:01,Pune,W5,P917,Snacks,Biscuits,174,2,3,Vikram,17,5.0,COD,348,May,Wednesday,2025,5,Fast,Low Stock
QC1153,2025-06-23,23:02,Hyderabad,W5,P380,Fruits,Orange,164,4,27,Rahul,30,3.6,UPI,656,June,Monday,2025,6,Medium,In Stock
QC1154,2025-05-06,13:45,Bangalore,W2,P939,Dairy,Milk 1L,249,3,8,Ravi,15,4.6,COD,747,May,Tuesday,2025,5,Fast,Low Stock
QC1155,2025-03-06,21:35,Hyderabad,W3,P837,Snacks,Potato Chips,232,2,14,Vikram,23,3.8,CARD,464,March,Thursday,2025,3,Fast,Low Stock
QC1156,2025-02-13,17:15,Hyderabad,W6,P861,Beverages,Soft Drink,81,3,5,Ravi,31,4.2,WALLET,243,February,Thursday,2025,2,Medium,Low Stock
QC1157,2025-01-28,08:02,Hyderabad,W6,P918,Frozen,Ice Cream,81,3,13,Karthik,12,3.0,CARD,243,January,Tuesday,2025,1,Fast,Low Stock
QC1158,2025-05-22,11:35,Delhi,W4,P155,Dairy,Curd,183,1,4,Aman,48,3.9,UPI,183,May,Thursday,2025,5,Medium,Low Stock
QC1159,2025-03-14,16:17,Chennai,W1,P346,Dairy,Milk 1L,233,3,41,Ravi,35,4.1,CARD,699,March,Friday,2025,3,Medium,In Stock
QC1160,2025-04-16,14:59,Delhi,W2,P215,Frozen,Frozen Peas,231,3,33,Arjun,24,3.8,WALLET,693,April,Wednesday,2025,4,Fast,In Stock
QC1161,2025-02-17,08:03,Delhi,W5,P339,Frozen,Frozen Peas,131,3,43,Vikram,35,4.2,WALLET,393,February,Monday,2025,2,Medium,In Stock
QC1162,2025-06-05,18:36,Delhi,W5,P234,Frozen,Ice Cream,95,4,60,Suresh,35,3.6,WALLET,380,June,Thursday,2025,6,Medium,In Stock
QC1163,2025-05-27,22:44,Mumbai,W1,P180,Beverages,Soft Drink,74,3,57,Karthik,37,3.5,UPI,222,May,Tuesday,2025,5,Medium,In Stock
QC1164,2025-01-04,15:22,Hyderabad,W2,P426,Bakery,Buns,66,4,3,Ravi,27,3.3,WALLET,264,January,Saturday,2025,1,Fast,Low Stock
QC1165,2025-06-20,14:28,Delhi,W1,P311,Fruits,Banana,117,3,40,Sameer,14,3.2,COD,351,June,Friday,2025,6,Fast,In Stock
